t(s),joint,q_ref,qdot_ref,qddot_ref,q_fuzzy,q_hac,e_fuzzy,e_hac,ed_fuzzy,ed_hac,pwm_fuzzy,pwm_hac,delta_pwm,grav_fuzzy,grav_hac
0.1700,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1800,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1800,shoulder,-0.081000,-0.900000,-5.000000,-0.008427,-0.018112,-0.072573,-0.062888,-0.651428,-0.486920,-168.7279,-186.9348,18.2069,-1.3967,-3.0018
0.1800,elbow,0.081023,0.900000,5.000000,0.010302,0.021268,0.070721,0.059755,0.603096,0.421640,163.1391,174.7565,-11.6174,0.6567,1.3558
0.1800,wrist_angle,0.081000,0.900000,5.000000,0.026825,0.032726,0.054175,0.048274,0.154604,0.199207,194.6321,136.6795,57.9526,1.0729,1.3088
0.1800,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1900,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1900,shoulder,-0.090250,-0.950000,-5.000000,-0.010912,-0.022242,-0.079338,-0.068008,-0.645204,-0.474647,-191.1017,-200.8614,9.7597,-1.8087,-3.6864
0.1900,elbow,0.090274,0.950000,5.000000,0.013271,0.026052,0.077003,0.064222,0.587851,0.401758,184.0609,186.3120,-2.2511,0.8460,1.6606
0.1900,wrist_angle,0.090250,0.950000,5.000000,0.034279,0.039734,0.055971,0.050516,0.074864,0.158105,201.3634,141.5684,59.7951,1.3709,1.5889
0.1900,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,shoulder,-0.100000,-1.000000,-5.000000,-0.013960,-0.026996,-0.086040,-0.073004,-0.631526,-0.457741,-211.6290,-214.4095,2.7805,-2.3138,-4.4740
0.2000,elbow,0.100025,1.000000,5.000000,0.016892,0.031534,0.083133,0.068491,0.564239,0.377259,203.2539,197.2279,6.0259,1.0768,2.0100
0.2000,wrist_angle,0.100000,1.000000,5.000000,0.043030,0.047653,0.056970,0.052347,-0.009361,0.113747,205.0177,145.2890,59.7287,1.7207,1.9054
0.2000,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2100,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2100,shoulder,-0.110250,-1.050000,-5.000000,-0.017645,-0.032419,-0.092605,-0.077831,-0.611013,-0.436328,-229.6568,-227.4672,-2.1896,-2.9245,-5.3724
0.2100,elbow,0.110276,1.050000,5.000000,0.021250,0.037762,0.089027,0.072515,0.532954,0.348399,220.1058,207.3925,12.7133,1.3546,2.4067
0.2100,wrist_angle,0.110250,1.050000,5.000000,0.053124,0.056516,0.057126,0.053734,-0.096017,0.066912,205.7778,147.7818,57.9959,2.1240,2.2594
0.2100,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2200,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2200,shoulder,-0.121000,-1.100000,-5.000000,-0.022035,-0.038555,-0.098965,-0.082445,-0.584498,-0.410575,-244.9713,-239.9274,-5.0440,-3.6520,-6.3890
0.2200,elbow,0.121027,1.100000,5.000000,0.026420,0.044778,0.094607,0.076250,0.494933,0.315479,234.3949,216.7022,17.6927,1.6841,2.8536
0.2200,wrist_angle,0.121000,1.100000,5.000000,0.064584,0.066346,0.056416,0.054654,-0.183174,0.018421,203.6151,149.0089,54.6062,2.5816,2.6519
0.2200,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2300,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2300,shoulder,-0.132250,-1.150000,-5.000000,-0.027190,-0.045450,-0.105060,-0.086800,-0.552888,-0.380681,-257.6917,-251.6879,-6.0038,-4.5062,-7.5307
0.2300,elbow,0.132279,1.150000,5.000000,0.032471,0.052623,0.099808,0.079656,0.451201,0.278842,246.1943,225.0628,21.1315,2.0697,3.3532
0.2300,wrist_angle,0.132250,1.150000,5.000000,0.077416,0.077162,0.054834,0.055088,-0.268884,-0.030884,198.2633,148.9548,49.3085,3.0935,3.0834
0.2300,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2400,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2400,shoulder,-0.144000,-1.200000,-5.000000,-0.033161,-0.053143,-0.110839,-0.090857,-0.517048,-0.346882,-268.1297,-262.6530,-5.4766,-5.4954,-8.8043
0.2400,elbow,0.144030,1.200000,5.000000,0.039459,0.061335,0.104571,0.082695,0.402755,0.238868,255.7588,232.3900,23.3688,2.5149,3.9076
0.2400,wrist_angle,0.144000,1.200000,5.000000,0.091605,0.088971,0.052395,0.055029,-0.351019,-0.080147,189.2324,147.6266,41.6059,3.6591,3.5541
0.2400,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2500,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2500,shoulder,-0.156250,-1.250000,-5.000000,-0.039990,-0.061674,-0.116260,-0.094576,-0.477742,-0.309443,-276.6742,-272.7336,-3.9405,-6.6267,-10.2160
0.2500,elbow,0.156281,1.250000,5.000000,0.047431,0.070946,0.108849,0.085335,0.350490,0.195972,263.4127,238.6107,24.8019,3.0226,4.5190
0.2500,wrist_angle,0.156250,1.250000,5.000000,0.107115,0.101772,0.049135,0.054478,-0.427126,-0.128518,175.9219,145.0533,30.8685,4.2764,4.0639
0.2500,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2600,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2600,shoulder,-0.169000,-1.300000,-5.000000,-0.047713,-0.071079,-0.121287,-0.097921,-0.435603,-0.268663,-283.7166,-281.8483,-1.8683,-7.9054,-11.7715
0.2600,elbow,0.169032,1.300000,5.000000,0.056427,0.081486,0.112605,0.087545,0.295171,0.150598,269.4862,243.6635,25.8227,3.5953,5.1890
0.2600,wrist_angle,0.169000,1.300000,5.000000,0.123886,0.115558,0.045114,0.053442,-0.494351,-0.175167,157.9284,141.2860,16.6424,4.9428,4.6120
0.2600,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2700,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2700,shoulder,-0.182250,-1.350000,-5.000000,-0.056357,-0.081393,-0.125893,-0.100857,-0.391132,-0.224865,-289.5975,-289.9239,0.3264,-9.3362,-13.4760
0.2700,elbow,0.182283,1.350000,5.000000,0.066475,0.092980,0.115808,0.089302,0.237432,0.103212,274.2762,247.4992,26.7770,4.2346,5.9189
0.2700,wrist_angle,0.182250,1.350000,5.000000,0.141829,0.130309,0.040421,0.051941,-0.549572,-0.219297,135.5974,136.3962,-0.7987,5.6542,5.1976
0.2700,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.0000,0.0000,-0.0000,0.0000,0.0000
0.2800,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2800,shoulder,-0.196000,-1.400000,-5.000000,-0.065946,-0.092644,-0.130054,-0.103356,-0.344719,-0.178396,-294.6070,-296.8958,2.2889,-10.9226,-15.3338
