t,phase,ref,pos,vel,e,u
3.028038,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.038514,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.049019,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.059255,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.069731,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.079941,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.090683,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.100955,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.111439,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.121705,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.132140,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.142366,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.153054,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.163381,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.174005,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.184272,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.194720,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.204894,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.215255,STEP,3.000000,1.846913,0.000000,1.153087,158.760153
3.225424,STEP,3.000000,1.846913,0.000000,1.153087,158.760153
3.235813,STEP,3.000000,1.851515,0.071942,1.148485,157.879730
3.246002,STEP,3.000000,1.851515,0.071942,1.148485,157.879730
3.256343,STEP,3.000000,1.853049,0.071942,1.146951,157.590035
3.266577,STEP,3.000000,1.853049,0.071942,1.146951,157.590035
3.276953,STEP,3.000000,1.853049,0.071942,1.146951,157.590035
3.287181,STEP,3.000000,1.853049,0.071942,1.146951,157.590035
3.297489,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.307662,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.317950,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.328120,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.338447,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.348692,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.359023,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.369200,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.379588,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.389729,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.400073,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
3.410251,STEP,3.000000,1.853049,0.000000,1.146951,157.604241
